"","id","slope_30","intercept_30","vqmax_36","treatment","tleaf_fac"
"1","gg_2",63.1458874566067,7.63584201957784,70.7817294761846,"35c","36c"
"2","gg_3",170.062335907732,14.1553215470995,184.217657454831,"25c","36c"
"3","gg_4",96.202668738275,10.628002572005,106.83067131028,"35c","36c"
"4","gg_5",113.836048142873,14.0603062633973,127.896354406271,"25c","36c"
"5","gg_6",113.135075677586,23.4982530624732,136.633328740059,"35c","36c"
"6","gg_7",164.795656672742,14.5333473976212,179.329004070363,"25c","36c"
"7","gg_8",147.019789117324,11.0322323177122,158.052021435037,"35c","36c"
"8","gg_9",113.305717005127,0.829597122157594,114.135314127284,"25c","36c"
"9","gg_10",40.4989066244153,7.97837146879562,48.4772780932109,"35c","36c"
"10","gg_11",80.3171667192751,8.05308534901956,88.3702520682946,"25c","36c"
"11","gg_12",103.124638401754,7.39785150911185,110.522489910866,"35c","36c"
"12","gg_14",86.5562524293456,13.6391580371199,100.195410466465,"35c","36c"
"13","gg_15",143.050261785691,8.3427691469764,151.393030932667,"25c","36c"
"14","gg_18",62.6810306318853,2.27376609435912,64.9547967262444,"35c","36c"
"15","gg_19",115.286893063623,7.85584114771007,123.142734211333,"25c","36c"
"16","gg_21",152.637419319089,-9.6363320293789,143.00108728971,"25c","36c"
"17","gg_23",134.86779607998,12.689139496731,147.556935576711,"25c","36c"
"18","gg_24",57.1585231053968,12.3994784824574,69.5580015878542,"35c","36c"
"19","gg_25",143.050261785691,8.3427691469764,151.393030932667,"25c","36c"
"20","gg_26",98.8253625811738,6.30178697410084,105.127149555275,"35c","36c"
"21","gg_28",54.2546748899739,7.6772532459639,61.9319281359378,"35c","36c"
"22","gg_31",244.609864698457,25.398366862813,270.00823156127,"25c","36c"
"23","gg_33",138.254145591983,18.8842104157186,157.138356007701,"25c","36c"
"24","gg_35",243.287679937789,15.2704711795924,258.558151117381,"25c","36c"
"25","gg_37",41.8323302489247,-1.59215470087553,40.2401755480492,"25c","36c"
"26","gg_38",135.358295651914,6.57401104278691,141.932306694701,"35c","36c"
"27","gg_39",88.1857404086271,-9.43712486832191,78.7486155403052,"25c","36c"
"28","gg_40",99.5403562053273,9.7443613373524,109.28471754268,"35c","36c"
